rank,address,balance_raw,balance_formatted,percentage_of_supply
1,0xab5801a7d398351b8be11c439e05c5b3259aec9b,689000001445840713877926484003366,689000001445840.750000000000000000,68.900000
2,0x5bf60ea5cf2383f407f09cf38378176298238a6c,80290961989745239005188470028119,80290961989745.234375000000000000,8.029096
3,0x0f2d557587022a8f500d7b9ca099342af796b946,57236664254937448594108029471267,57236664254937.445312500000000000,5.723666
4,0x92c889c4a6472d0e841ba9e360430b9ec4e3911c,15963161082894106506178288931698,15963161082894.107421875000000000,1.596316
5,0xf801f3e34e52fea91d23adb9319446307af6a3a3,9942232715475318788564104254279,9942232715475.318359375000000000,0.994223
6,0x1e544b6d506bb1843877ad6a9c95c2bbc964d962,7234427926200591429891259033598,7234427926200.591796875000000000,0.723443
7,0xbe23cbb62064b8b1550ae5ada59c39d45b1e2081,4691837098620450215580706815342,4691837098620.450195312500000000,0.469184
8,0x54de7d80f049e3d1fa8facc7b99386ffbbd9c90a,3500952140528895982711488806856,3500952140528.895996093750000000,0.350095
9,0x57d61d8e93101dcb279da9d866d9cee35f356f26,2962972734700257104197132117318,2962972734700.257324218750000000,0.296297
10,0x79bfade93e6cf3bfa75515bfcfaddfd8b2d97ea2,2040581653505856368778874280497,2040581653505.856445312500000000,0.204058
11,0xe9387fa53c0dad42f96ee0fb070966f237a2dd40,1617113869631329276399755968901,1617113869631.329345703125000000,0.161711
12,0xf970ad270abacf305057f44db6e1524f8f18f937,1553701814995157210876204252319,1553701814995.157226562500000000,0.155370
13,0xdf5c8555e96b450accb41d6dd3708fd109954adf,1508795400495550170840203400413,1508795400495.550048828125000000,0.150880
14,0x91891e7a41328d9406e4c8929fb38804fa9a4149,1453161976924000000000000000000,1453161976924.000000000000000000,0.145316
15,0x790b3a034da88ac00ea323beb1240a5273d5be32,1450000000000000000000000000000,1450000000000.000000000000000000,0.145000
16,0x9d8e1d321d111c89cfc04b79f88bd7b88ab4c22a,1406546699999000000000000000000,1406546699999.000000000000000000,0.140655
17,0x674d548d18ba85bc68163d714abf9ace49224473,1372305551565968598687748308186,1372305551565.968505859375000000,0.137231
18,0xdf5b47c2da00c1666c365f20521d08e860167539,1314733072013089050496602141521,1314733072013.089111328125000000,0.131473
19,0x4a6a46539d27b9473be6f309a8922cf73b2042c7,1298780049332348868613343367638,1298780049332.348876953125000000,0.129878
20,0x9995943c4f3709eb0779d3c99c0235ff7608108d,1238027152331114459927546009824,1238027152331.114501953125000000,0.123803
21,0x84e92b983d0cb93c7f82db59bd86b298ec45ff49,1107227999291000000000000000000,1107227999291.000000000000000000,0.110723
22,0x045ba96b785fd595e37ba37ac57264f8eb423336,1063655497522159925890130422263,1063655497522.159912109375000000,0.106366
23,0xbe17af300ed8e7a9e60cb4895b47aadd6cb53c51,1060095262412795988864790056510,1060095262412.796020507812500000,0.106010
24,0x3dd9cf0b98f7b3ce4a4b0931f4c499c4ab3a9810,1003500413398000000000000000000,1003500413398.000000000000000000,0.100350
25,0xb20db2c2003512f43bff66ea73bc4236fa3bebe3,1000012435250000000000000000000,1000012435250.000000000000000000,0.100001
26,0x40d47b18435c929db0fade2a9ea044581d09086d,981984212195662282569532194956,981984212195.662231445312500000,0.098198
27,0x11447ef1e3737c9c72ad822a9b3242616417d8ee,980763035200876827766231282500,980763035200.876831054687500000,0.098076
28,0x0ab237e91cb500ec851bb7b31a375b7589529b10,957326222296955881952828182333,957326222296.955932617187500000,0.095733
29,0xd19f6dbc5844fc8c21ad85ce69b8c9227621d612,953371567748961494858768242568,953371567748.961547851562500000,0.095337
30,0xec14793a2e881d4eeec0bde928667fc4b509f297,900000000000857953184430202022,900000000000.857910156250000000,0.090000
31,0x49274640869ba3c5b3d6c1fdbdfa4141332a91a5,854039882592911787972313520047,854039882592.911743164062500000,0.085404
32,0xe847b290076a939b116c41b44ca3c570bd9fc947,847098121072780535707933694888,847098121072.780517578125000000,0.084710
33,0x013b030ddfad77e3aef9042fe6046177521284cb,831757718297000000000000000000,831757718297.000000000000000000,0.083176
34,0x15071ecd64022cf614630fbe92969bd9ab98e882,827959072990436181071843708246,827959072990.436157226562500000,0.082796
35,0x28eb5b975f4063aec66df969d2328003495eafab,814268837090033611195134108914,814268837090.033569335937500000,0.081427
36,0x76e65aa2f73b32806278fd0700df986731a4e547,812985659126000000000000000000,812985659126.000000000000000000,0.081299
37,0xfd15cb084cdb5f8cf51933ea93d0e1f6b21e5ce0,811065714719169674062020357652,811065714719.169677734375000000,0.081107
38,0xcf0e4c0f0ac4fa62cc18c9777c693b4d73392a8d,793418538441183991501830017283,793418538441.183959960937500000,0.079342
39,0xa47f31b991fe1c9b0372d8349a01edb047973780,738179961920020382492676851181,738179961920.020385742187500000,0.073818
40,0x80e1c7c616add85eb71c904ab321c868dc477a4c,700000000000000000000000000000,700000000000.000000000000000000,0.070000
41,0x787f9a6902548fd5188e819abfcc1890e3cecd9a,673344811258998078089328840369,673344811258.998046875000000000,0.067334
42,0x6265728aa913a55c066133105167fed56441d4f6,658370968090000000000000000000,658370968090.000000000000000000,0.065837
43,0xb7ef82fa294aee9da955e7c1cb28947c3e44980f,648719820805534767586962010743,648719820805.534790039062500000,0.064872
44,0x85d572495843d4d8cc1639e0e45abeb00eb79522,641706322351059966427588886510,641706322351.059936523437500000,0.064171
45,0x0de6e4a92fa6d0e9833377b72020efa374f6388a,604239308697098319722301639207,604239308697.098266601562500000,0.060424
46,0xfc8feeb1288c10130167e1bdf3e8d4da92d327de,601163694285407255801380182083,601163694285.407226562500000000,0.060116
47,0xfb70873a658edc89e814dbac0440e5a8c824544a,600000000000000000000000000000,600000000000.000000000000000000,0.060000
48,0xe969975e18275340b8b78ac59035b8fc859dbf6c,600000000000000000000000000000,600000000000.000000000000000000,0.060000
49,0x90aeb921b205927b603a7180e18e855432fcd708,596159989787000000000000000000,596159989787.000000000000000000,0.059616
50,0x0108e5521e54394cacb22d664ec9722e52355e31,566540730318420969211820394676,566540730318.421020507812500000,0.056654
51,0x47ce87f942c3410bbdac30f69427ef5493f78476,552839438028153130632474832338,552839438028.153076171875000000,0.055284
52,0x9e254914d5250cce301afc87c40e61f6d2a2abf0,533200110743605009831159699055,533200110743.604980468750000000,0.053320
53,0xc8df2a02771490c5af288db0428fa52c51d05aac,529990100000000000000000000000,529990100000.000000000000000000,0.052999
54,0x0499d821624288509cad73b17f57cc528f066ca5,529307760678804550548629190482,529307760678.804565429687500000,0.052931
55,0x9475bb507d775d98bd65afff7163e4d50d66a227,523950378689000000000000000000,523950378689.000000000000000000,0.052395
56,0x557c60995797fa7b47be105227a2e46148d85750,510818357052277216734924916396,510818357052.277221679687500000,0.051082
57,0xbccebe829f7227f03fdf0a1676d9aa258cafc160,505813059260000000000000000000,505813059260.000000000000000000,0.050581
